x/c upper,y/c upper,x/c lower,y/c lower
0,0,0,0
126,666,126,-552
503,1.416,503,-1.002
1.130,2.239,1.130,-1.380
2.003,3.102,2.003,-1.717
3.118,3.988,3.118,-2.016
4.470,4.886,4.470,-2.276
6.052,5.784,6.052,-2.499
7.857,6.668,7.857,-2.693
9.877,7.526,9.877,-2.861
12.101,8.344,12.101,-3.006
14.518,9.110,14.518,-3.128
17.118,9.810,17.118,-3.229
19.888,10.431,19.888,-3.308
22.814,10.958,22.814,-3.367
25.882,11.372,25.882,-3.404
29.078,11.662,29.078,-3.422
32.386,11.818,32.386,-3.416
35.791,11.837,35.791,-3.388
39.276,11.711,39.276,-3.337
42.825,11.432,42.825,-3.263
46.419,11.006,46.419,-3.167
50.043,10.457,50.043,-3.047
53.679,9.810,53.679,-2.903
57.309,9.088,57.309,-2.735
60.917,8.310,60.917,-2.548
64.483,7.497,64.483,-2.341
67.992,6.667,67.992,-2.112
71.427,5.838,71.427,-1.865
74.771,5.028,74.771,-1.605
78.009,4.249,78.009,-1.341
81.124,3.513,81.124,-1.082
84.101,2.830,84.101,-841
86.927,2.212,86.927,-626
89.588,1.665,89.588,-442
92.071,1.194,92.071,-294
94.364,803,94.364,-185
96.457,492,96.457,-115
98.338,258,98.338,-87
100.000,98,100.000,-98